Methodology,Model,Accuracy,ROC_AUC,ROC_Threshold,FN_default,FP_default,PR_AUC,F2_at_0.5,Best_F2,F2_Threshold,FN_at_F2_thresh,FP_at_F2_thresh,Train_time_s,gap
Baseline,Logistic Regression (L2),0.9991,0.9702,0.002,44,9,0.7072,0.5934,0.7753,0.039,20,33,77.7,0.2629999999999999
Baseline,Logistic Regression (L1),0.9991,0.9673,0.002,43,9,0.7087,0.6031,0.7685,0.056,21,32,1015.2,0.25860000000000005
Baseline,KNN,0.9994,0.9131,0.2,27,7,0.7764,0.7553,0.8054,0.2,21,9,87.2,0.13670000000000004
Baseline,Decision Tree (gini),0.9993,0.8927,1.0,21,21,0.6177,0.7857,0.7857,0.01,21,21,33.9,0.275
Baseline,Decision Tree (entropy),0.999,0.8722,1.0,25,31,0.5233,0.7359,0.7359,0.01,25,31,25.3,0.3489
Baseline,Random Forest,0.9995,0.927,0.03,25,4,0.8271,0.7783,0.8351,0.262,18,7,80.7,0.0999000000000001
Baseline,XGBoost,0.9995,0.9755,0.0,20,9,0.8305,0.8142,0.8245,0.806,20,3,9.7,0.14500000000000002
RepeatedKFold CV,Logistic Regression (L2),0.9993,0.9899,0.002,30,4,0.7848,0.5782,0.8179,0.02,11,15,64.2,0.20509999999999995
RepeatedKFold CV,Logistic Regression (L1),0.9993,0.9823,0.002,25,5,0.7864,0.65,0.81,0.082,12,13,685.7,0.19589999999999996
RepeatedKFold CV,KNN,0.9995,0.9217,0.2,17,7,0.7608,0.7581,0.807,0.2,13,9,57.8,0.16089999999999993
RepeatedKFold CV,Decision Tree (gini),0.9994,0.9139,1.0,11,15,0.6457,0.8179,0.8179,0.01,11,15,31.5,0.2682
RepeatedKFold CV,Decision Tree (entropy),0.9993,0.8826,1.0,15,19,0.552,0.7562,0.7562,0.01,15,19,21.8,0.3306
RepeatedKFold CV,Random Forest,0.9996,0.9599,0.02,13,4,0.8569,0.8199,0.8511,0.092,8,17,62.4,0.10299999999999998
RepeatedKFold CV,XGBoost,0.9996,0.9922,0.0,12,5,0.8514,0.8307,0.8308,0.036,10,15,8.4,0.14079999999999993
StratifiedKFold CV,Logistic Regression (L2),0.9992,0.9773,0.004,27,8,0.767,0.6915,0.8088,0.049,13,26,60.5,0.21029999999999993
StratifiedKFold CV,Logistic Regression (L1),0.9992,0.9761,0.004,28,9,0.7667,0.6782,0.799,0.039,13,31,1734.9,0.20939999999999992
StratifiedKFold CV,KNN,0.9995,0.9112,0.2,18,3,0.8052,0.8026,0.8184,0.2,15,11,57.8,0.10599999999999998
StratifiedKFold CV,Decision Tree (gini),0.9991,0.8921,1.0,17,24,0.5662,0.7711,0.7711,0.01,17,24,27.7,0.32589999999999997
StratifiedKFold CV,Decision Tree (entropy),0.9993,0.8923,1.0,17,13,0.6491,0.7928,0.7928,0.01,17,13,19.1,0.24319999999999997
StratifiedKFold CV,Random Forest,0.9995,0.948,0.02,19,2,0.8474,0.7937,0.8462,0.243,13,8,58.6,0.10059999999999991
StratifiedKFold CV,XGBoost,0.9995,0.9828,0.0010000000474974,15,6,0.8495,0.829,0.8377,0.839,15,2,8.0,0.13329999999999997
StratifiedKFold + ROS,Logistic Regression (L2),0.9889,0.9708,0.253,8,499,0.7556,0.4007,0.7908,0.99,14,30,116.9,0.21519999999999995
StratifiedKFold + ROS,Logistic Regression (L1),0.9888,0.9707,0.521,8,501,0.755,0.3998,0.7908,0.99,14,30,978.8,0.2157
StratifiedKFold + ROS,KNN,0.9987,0.9111,0.2,15,43,0.6412,0.7565,0.7786,0.603,15,31,83.1,0.26990000000000003
StratifiedKFold + ROS,Decision Tree (gini),0.9991,0.8858,1.0,18,21,0.5748,0.7663,0.7663,0.01,18,21,19.1,0.31100000000000005
StratifiedKFold + ROS,Decision Tree (entropy),0.9992,0.8669,1.0,21,17,0.5682,0.7417,0.7417,0.01,21,17,17.0,0.29869999999999997
StratifiedKFold + ROS,Random Forest,0.9996,0.9602,0.01,16,3,0.8478,0.8246,0.8462,0.233,13,8,76.2,0.11240000000000006
StratifiedKFold + ROS,XGBoost,0.9995,0.9789,0.0,15,7,0.8518,0.8269,0.8399,0.98,15,1,8.8,0.1271
StratifiedKFold + SMOTE,Logistic Regression (L2),0.9753,0.9673,0.467,9,1116,0.7218,0.233,0.771,0.99,13,46,149.1,0.24550000000000005
StratifiedKFold + SMOTE,Logistic Regression (L1),0.9751,0.9671,0.485,9,1126,0.7215,0.2315,0.7692,0.99,13,47,1003.0,0.24559999999999993
StratifiedKFold + SMOTE,KNN,0.9971,0.9295,0.2,12,120,0.4779,0.666,0.7227,0.803,18,45,107.9,0.4516
